,time,article,Quantity
0,7,BAGUETTE,554
1,7,BAGUETTE APERO,1
2,7,BAGUETTE GRAINE,34
3,7,BANETTE,380
4,7,BANETTINE,95
5,7,BOISSON 33CL,73
6,7,BOTTEREAU,3
7,7,BOULE 200G,49
8,7,BOULE 400G,44
9,7,BOULE POLKA,1
10,7,BRIOCHE,82
11,7,BROWNIES,3
12,7,CAFE OU EAU,93
13,7,CAMPAGNE,42
14,7,CEREAL BAGUETTE,104
15,7,CHAUSSON AUX POMMES,63
16,7,CHOCOLAT,15
17,7,COMPLET,44
18,7,COOKIE,77
19,7,COUPE,233
20,7,CROISSANT,1212
21,7,CROISSANT AMANDES,76
22,7,DELICETROPICAL,2
23,7,DEMI BAGUETTE,27
24,7,DIVERS BOISSONS,3
25,7,DIVERS BOULANGERIE,15
26,7,DIVERS CONFISERIE,8
27,7,DIVERS PATISSERIE,2
28,7,DIVERS SANDWICHS,1
29,7,DIVERS VIENNOISERIE,8
30,7,ECLAIR,29
31,7,FICELLE,232
32,7,FINANCIER,2
33,7,FINANCIER X5,17
34,7,FLAN,12
35,7,FLAN ABRICOT,6
36,7,FONDANT CHOCOLAT,9
37,7,FORMULE SANDWICH,72
38,7,FRAISIER,4
39,7,GACHE,1
40,7,GAL FRANGIPANE 4P,1
41,7,GAL FRANGIPANE 6P,1
42,7,GD FAR BRETON,1
43,7,GD KOUIGN AMANN,16
44,7,GD NANTAIS,1
45,7,GRAND FAR BRETON,13
46,7,GRANDE SUCETTE,2
47,7,KOUIGN AMANN,33
48,7,MACARON,2
49,7,MILLES FEUILLES,11
50,7,MOISSON,37
51,7,NANTAIS,5
52,7,NOIX JAPONAISE,2
53,7,PAILLE,3
54,7,PAIN,28
55,7,PAIN AU CHOCOLAT,1130
56,7,PAIN AUX RAISINS,172
57,7,PAIN BANETTE,30
58,7,PAIN CHOCO AMANDES,115
59,7,PAIN DE MIE,1
60,7,PAIN SUISSE PEPITO,1
61,7,PALET BRETON,5
62,7,PARIS BREST,26
63,7,PLAT 6.50E,2
64,7,PLAT 7.00,7
65,7,PLAT 7.60E,10
66,7,PLAT 8.30E,1
67,7,PT NANTAIS,6
68,7,QUIM BREAD,38
69,7,RELIGIEUSE,1
70,7,ROYAL 6P,1
71,7,SABLE F  P,3
72,7,SACHET DE CROUTON,3
73,7,SACHET VIENNOISERIE,39
74,7,SAND JB EMMENTAL,26
75,7,SANDWICH COMPLET,26
76,7,SAVARIN,3
77,7,SEIGLE,11
78,7,SPECIAL BREAD,114
79,7,SPECIAL BREAD KG,12
80,7,ST HONORE,1
81,7,SUCETTE,3
82,7,TARTE FINE,1
83,7,TARTE FRUITS 4P,4
84,7,TARTE FRUITS 6P,3
85,7,TARTELETTE,32
86,7,TARTELETTE FRAISE,15
87,7,THE,1
88,7,TRADITIONAL BAGUETTE,1361
89,7,TRAITEUR,14
90,7,TROPEZIENNE,3
91,7,TROPEZIENNE FRAMBOISE,1
92,7,VIENNOISE,17
93,7,VIK BREAD,36
94,8,12 MACARON,3
95,8,BAGUETTE,2227
96,8,BAGUETTE APERO,9
97,8,BAGUETTE GRAINE,173
98,8,BANETTE,1574
99,8,BANETTINE,523
100,8,BOISSON 33CL,199
101,8,BOTTEREAU,7
102,8,BOULE 200G,247
103,8,BOULE 400G,394
104,8,BOULE POLKA,38
105,8,BRIOCHE,322
106,8,BRIOCHE DE NOEL,1
107,8,BRIOCHETTE,13
108,8,BROWNIES,3
109,8,CAFE OU EAU,461
110,8,CAMPAGNE,332
111,8,CARAMEL NOIX,2
112,8,CEREAL BAGUETTE,483
113,8,CHAUSSON AUX POMMES,259
114,8,CHOCOLAT,17
115,8,CHOU CHANTILLY,9
116,8,COMPLET,248
117,8,COOKIE,229
118,8,COUPE,1637
119,8,CROISSANT,3672
120,8,CROISSANT AMANDES,287
121,8,CRUMBLE,1
122,8,DELICETROPICAL,1
123,8,DEMI BAGUETTE,166
124,8,DEMI PAIN,1
125,8,DIVERS BOISSONS,6
126,8,DIVERS BOULANGERIE,56
127,8,DIVERS CONFISERIE,31
128,8,DIVERS PATISSERIE,18
129,8,DIVERS SANDWICHS,3
130,8,DIVERS VIENNOISERIE,36
131,8,ECLAIR,116
132,8,ECLAIR FRAISE PISTACHE,1
133,8,ENTREMETS,1
134,8,FICELLE,775
135,8,FINANCIER X5,63
136,8,FLAN,51
137,8,FLAN ABRICOT,22
138,8,FONDANT CHOCOLAT,15
139,8,FORMULE SANDWICH,198
140,8,FRAISIER,33
141,8,FRAMBOISIER,2
142,8,GACHE,13
143,8,GAL FRANGIPANE 4P,5
144,8,GAL FRANGIPANE 6P,4
145,8,GAL POIRE CHOCO 6P,1
146,8,GAL POMME 4P,6
147,8,GAL POMME 6P,2
148,8,GD FAR BRETON,7
149,8,GD KOUIGN AMANN,51
150,8,GD NANTAIS,7
151,8,GRAND FAR BRETON,85
152,8,GRANDE SUCETTE,3
153,8,KOUIGN AMANN,96
154,8,MACARON,13
155,8,MERINGUE,4
156,8,MILLES FEUILLES,32
157,8,MOISSON,214
158,8,NANTAIS,15
159,8,NOIX JAPONAISE,9
160,8,PAILLE,7
161,8,PAIN,348
162,8,PAIN AU CHOCOLAT,3039
163,8,PAIN AUX RAISINS,617
164,8,PAIN BANETTE,173
165,8,PAIN CHOCO AMANDES,271
166,8,PAIN DE MIE,1
167,8,PAIN GRAINES,1
168,8,PAIN S/SEL,3
169,8,PAIN SUISSE PEPITO,1
170,8,PALET BRETON,14
171,8,PARIS BREST,67
172,8,PLAT 7.00,4
173,8,PLAT 7.60E,8
174,8,PLAT 8.30E,4
175,8,"PLATPREPARE6,50",2
176,8,PT NANTAIS,20
177,8,QUIM BREAD,130
178,8,RELIGIEUSE,7
179,8,ROYAL,13
180,8,ROYAL 4P,8
181,8,ROYAL 6P,4
182,8,SABLE F  P,6
183,8,SACHET DE CROUTON,6
184,8,SACHET DE VIENNOISERIE,1
185,8,SACHET VIENNOISERIE,113
186,8,SAND JB EMMENTAL,132
187,8,SANDWICH COMPLET,127
188,8,SAVARIN,8
189,8,SEIGLE,73
190,8,SPECIAL BREAD,440
191,8,SPECIAL BREAD KG,32
192,8,ST HONORE,6
193,8,SUCETTE,23
194,8,TARTE FINE,3
195,8,TARTE FRAISE 4PER,20
196,8,TARTE FRAISE 6P,9
197,8,TARTE FRUITS 4P,21
198,8,TARTE FRUITS 6P,8
199,8,TARTELETTE,142
200,8,TARTELETTE FRAISE,41
201,8,TRADITIONAL BAGUETTE,6177
202,8,TRAITEUR,27
203,8,TRIANGLES,3
204,8,TROPEZIENNE,15
205,8,VIENNOISE,49
206,8,VIK BREAD,339
207,9,.,1
208,9,12 MACARON,2
209,9,BAGUETTE,2685
210,9,BAGUETTE APERO,10
211,9,BAGUETTE GRAINE,235
212,9,BANETTE,2521
213,9,BANETTINE,669
214,9,BOISSON 33CL,134
215,9,BOTTEREAU,13
216,9,BOULE 200G,418
217,9,BOULE 400G,589
218,9,BOULE POLKA,76
219,9,BRIOCHE,299
220,9,BRIOCHE DE NOEL,1
221,9,BRIOCHETTE,13
222,9,BROWNIES,3
223,9,BUCHE 4PERS,2
224,9,BUCHE 6PERS,2
225,9,CAFE OU EAU,238
226,9,CAMPAGNE,571
227,9,CARAMEL NOIX,4
228,9,CEREAL BAGUETTE,647
229,9,CHAUSSON AUX POMMES,250
230,9,CHOCOLAT,24
231,9,CHOU CHANTILLY,16
232,9,COMPLET,455
233,9,COOKIE,281
234,9,COUPE,2843
235,9,CROISSANT,2986
236,9,CROISSANT AMANDES,301
237,9,CRUMBLE,1
238,9,DELICETROPICAL,10
239,9,DEMI BAGUETTE,165
240,9,DEMI PAIN,18
241,9,DIVERS BOISSONS,7
242,9,DIVERS BOULANGERIE,61
243,9,DIVERS CONFISERIE,39
244,9,DIVERS PATISSERIE,34
245,9,DIVERS SANDWICHS,14
246,9,DIVERS VIENNOISERIE,55
247,9,ECLAIR,209
248,9,ECLAIR FRAISE PISTACHE,2
249,9,ENTREMETS,1
